type,id,status,description,amount,account,balance,direction,class,institution,postDate,subClass_title,subClass_code
transaction,77890ced-f4ff-4e1c-9a92-4f3d63e185bf,posted,Transfer In from xx3481 acc,10000.00,1a9df06d-adc0-4099-a628-f9901f5a476c,0.00,credit,transfer,AU00000,2022-12-24T00:00:00Z,Auxiliary Finance and Investment Services,641
transaction,7922584b-fd27-498a-bcdc-768a8720fd94,posted,Transfer In from xx3481 acc,10000.00,1a9df06d-adc0-4099-a628-f9901f5a476c,0.00,credit,transfer,AU00000,2022-11-24T00:00:00Z,Auxiliary Finance and Investment Services,641
transaction,351b0624-5b36-4a49-9fae-124cf1c12a04,posted,Transfer In from xx3481 acc,10000.00,1a9df06d-adc0-4099-a628-f9901f5a476c,0.00,credit,transfer,AU00000,2021-12-24T00:00:00Z,Auxiliary Finance and Investment Services,641
transaction,f1e86e5c-6043-4bde-b81f-edce99fe9a2b,posted,Transfer In from xx3481 acc,10000.00,1a9df06d-adc0-4099-a628-f9901f5a476c,0.00,credit,transfer,AU00000,2021-11-24T00:00:00Z,Auxiliary Finance and Investment Services,641
transaction,5546486f-ba02-4fef-8701-dc166e2099e3,posted,NIGHT NOODLE MARKET PYRMONT AUS Card xx3481 Value Date: 20/11/2021,-43.95,1ffc861f-a823-4f7f-9023-7b8812cb4c40,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451
transaction,03610e88-a7a2-4555-ac29-a16ce6e6f106,posted,COLES 5587 NORTH SYDNEY AU AUS Card xx3481 Value Date: 18/11/2021,-43.61,1ffc861f-a823-4f7f-9023-7b8812cb4c40,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,Supermarket and Grocery Stores,411
transaction,f94150da-3c33-4193-ae5a-3a6b874ebd24,posted,ALDI 93 EASTWOOD NS AUS Card xx3481 Value Date: 17/11/2021,-291.19,1ffc861f-a823-4f7f-9023-7b8812cb4c40,0.00,debit,payment,AU00000,2023-11-19T00:00:00Z,Supermarket and Grocery Stores,411
transaction,ae9ddb79-6ce0-460a-bde8-18c3ffaf206d,posted,CHEMIST WAREHOUSE SYDNEY NS AUS Card xx3481 Value Date: 17/11/2021,-67.70,1ffc861f-a823-4f7f-9023-7b8812cb4c40,0.00,debit,payment,AU00000,2023-11-19T00:00:00Z,Pharmaceutical and Other Store-Based Retailing,427
transaction,c08de9b4-a738-484e-af7c-f359b632d46a,posted,COLES 5587 NORTH SYDNEY AU AUS Card xx3481 Value Date: 17/11/2021,-43.05,1ffc861f-a823-4f7f-9023-7b8812cb4c40,0.00,debit,payment,AU00000,2023-11-19T00:00:00Z,Supermarket and Grocery Stores,411
transaction,471e1d0d-c169-4761-80f6-dfbc1df11509,posted,EVENT CINEMAS GEORGE SYDNEY AUS Card xx3481 Value Date: 17/11/2021,-15.00,1ffc861f-a823-4f7f-9023-7b8812cb4c40,0.00,debit,payment,AU00000,2023-11-18T00:00:00Z,Motion Picture and Video Activities,551
