type,id,status,description,amount,account,balance,direction,class,institution,postDate,subClass_title,subClass_code
transaction,ff7e9fdf-e7dc-478b-b415-934ecac7b66c,posted,Transfer to other Bank CommBank app Hawkins 13 Value Date: 22/11/2018,-309.00,d965a4b5-2df0-442c-ab01-99a26d287d34,83883.28,debit,transfer,AU00000,2023-11-21T00:00:00Z,,
transaction,7cb22403-50cb-4977-af26-2c49c3f6cc50,posted,Transfer to xx0253 CommBank app,0.00,d965a4b5-2df0-442c-ab01-99a26d287d34,138555.95,credit,transfer,AU00000,2023-11-20T00:00:00Z,Department Stores,426
transaction,fff0a132-7121-4882-8620-27a1f3d338f3,posted,Transfer to xx3621 CommBank app,-8.00,d965a4b5-2df0-442c-ab01-99a26d287d34,139088.91,debit,transfer,AU00000,2023-11-19T00:00:00Z,,
transaction,83b6ff02-de7a-4aef-8197-31e54c93a671,posted,Transfer to xx0283 CommBank app matt b,3.00,d965a4b5-2df0-442c-ab01-99a26d287d34,191888.40,credit,transfer,AU00000,2023-11-18T00:00:00Z,Department Stores,426
transaction,871ea9cc-193e-472f-ad99-e0e75a53872d,posted,Transfer to xx5040 CommBank app,-23.00,d965a4b5-2df0-442c-ab01-99a26d287d34,193012.01,debit,transfer,AU00000,2023-11-17T00:00:00Z,,
transaction,609c0004-49ff-4a7c-bc39-f7b4e3fd71a2,posted,Transfer to xx9923 CommBank app,-885.00,d965a4b5-2df0-442c-ab01-99a26d287d34,199901.70,debit,transfer,AU00000,2023-11-15T00:00:00Z,,
transaction,c3776262-6962-43ba-82ec-369b68769bd8,posted,Transfer from xx1318 CommBank app,118.00,d965a4b5-2df0-442c-ab01-99a26d287d34,201222.21,credit,transfer,AU00000,2023-11-14T00:00:00Z,Road Passenger Transport,462
transaction,22082594-0b4b-4f4b-bbc4-71ec9ca50ea5,posted,Transfer to xx7920 CommBank app food,-37.00,d965a4b5-2df0-442c-ab01-99a26d287d34,203310.84,debit,transfer,AU00000,2023-11-13T00:00:00Z,,
transaction,8bdbeb31-0ec5-4e9e-abd1-cfc1375ea26b,posted,Transfer to xx8334 CommBank app,-33.00,d965a4b5-2df0-442c-ab01-99a26d287d34,223065.14,debit,transfer,AU00000,2023-11-12T00:00:00Z,,
transaction,2e882520-e00c-44da-ae8b-07cae14cbf7b,posted,Transfer to xx1578 CommBank app Skill assesment,-109.00,d965a4b5-2df0-442c-ab01-99a26d287d34,32866.87,debit,transfer,AU00000,2023-11-11T00:00:00Z,,
transaction,df513deb-3eef-44a4-9302-ebfd7a96a7ff,posted,Transfer to xx5716 CommBank app,-10.00,d965a4b5-2df0-442c-ab01-99a26d287d34,34178.57,debit,transfer,AU00000,2023-11-10T00:00:00Z,,
transaction,4576e296-aeb8-4f74-97b6-7b5973e15f82,posted,Transfer to xx0714 CommBank app,-20.65,d965a4b5-2df0-442c-ab01-99a26d287d34,35306.57,debit,transfer,AU00000,2023-11-09T00:00:00Z,,
transaction,8d74d3bc-1db3-430d-9ae9-c39e114fd071,posted,Transfer from  CommBank app,108.00,d965a4b5-2df0-442c-ab01-99a26d287d34,22264.65,credit,transfer,AU00000,2023-11-08T00:00:00Z,Road Passenger Transport,462
transaction,e7cac59f-428a-4abf-8502-612c8c71b5a0,posted,Transfer to xx7041 CommBank app,-14.00,d965a4b5-2df0-442c-ab01-99a26d287d34,26942.79,debit,transfer,AU00000,2023-11-06T00:00:00Z,,
transaction,63dee98c-f1a6-48fe-aa47-3732f99155ee,posted,Transfer to xx9026 CommBank app,4.61,d965a4b5-2df0-442c-ab01-99a26d287d34,28544.08,credit,transfer,AU00000,2023-11-05T00:00:00Z,Department Stores,426
transaction,379f22c9-aebb-4b2e-a91b-79aaaaf7f474,posted,Transfer to xx5600 CommBank app,-202.00,d965a4b5-2df0-442c-ab01-99a26d287d34,22665.47,debit,transfer,AU00000,2023-11-04T00:00:00Z,,
transaction,a5aa28ce-edda-4d5e-b8ff-8d1fd7b486d2,posted,Transfer to xx3202 CommBank app,-12.51,d965a4b5-2df0-442c-ab01-99a26d287d34,23437.20,debit,transfer,AU00000,2023-11-03T00:00:00Z,,
transaction,f9ef07e8-197d-4ce9-a444-d51702f10b3c,posted,Transfer to xx2533 CommBank app,-3.00,d965a4b5-2df0-442c-ab01-99a26d287d34,2809.71,debit,transfer,AU00000,2023-11-02T00:00:00Z,,
transaction,b976acea-a6cb-4720-abd5-8585e36c050d,posted,Transfer from LEN-LEN LIGON CommBank app tuition fee,741.00,d965a4b5-2df0-442c-ab01-99a26d287d34,8693.85,credit,transfer,AU00000,2023-11-01T00:00:00Z,Unknown,0
transaction,cd25a24a-bd77-4795-82ef-57741488eb7b,posted,Transfer to xx6212 CommBank app,21.00,d965a4b5-2df0-442c-ab01-99a26d287d34,11368.85,credit,transfer,AU00000,2023-10-31T00:00:00Z,Department Stores,426
transaction,346d2334-f4fe-4da0-88fe-77534d8cf07e,posted,Transfer from xx5715 CommBank app,230.00,d965a4b5-2df0-442c-ab01-99a26d287d34,13839.27,credit,transfer,AU00000,2023-10-30T00:00:00Z,Road Passenger Transport,462
transaction,c74f7d92-bd88-4544-8dec-0acf975980dd,posted,Transfer to xx6397 CommBank app,9.00,d965a4b5-2df0-442c-ab01-99a26d287d34,10026.56,credit,transfer,AU00000,2023-10-29T00:00:00Z,Department Stores,426
transaction,c7c479af-9dca-484f-ac96-df6cdb0bd3b9,posted,Transfer to xx0074 CommBank app,6.00,d965a4b5-2df0-442c-ab01-99a26d287d34,14111.56,credit,transfer,AU00000,2023-10-28T00:00:00Z,Department Stores,426
transaction,e7b720af-0e0b-4ea1-b609-1893bc3dc495,posted,Transfer to xx4653 NetBank Jsbajsns,7.00,d965a4b5-2df0-442c-ab01-99a26d287d34,59789.50,credit,transfer,AU00000,2023-10-27T00:00:00Z,Department Stores,426
transaction,2e316c5c-6334-40ed-92ac-4cf00503368c,posted,Transfer to xx2366 CommBank app,16.00,d965a4b5-2df0-442c-ab01-99a26d287d34,61659.82,credit,transfer,AU00000,2023-10-26T00:00:00Z,Department Stores,426
transaction,c015a634-ab7a-47a4-adad-80780a58a4c6,posted,Transfer to xx1899 CommBank app,5.00,d965a4b5-2df0-442c-ab01-99a26d287d34,61500.97,credit,transfer,AU00000,2023-10-25T00:00:00Z,Department Stores,426
transaction,584a7d8a-bee5-41bd-94da-14ffe8266316,posted,Transfer to xx9925 CommBank app,14.00,d965a4b5-2df0-442c-ab01-99a26d287d34,63338.06,credit,transfer,AU00000,2023-10-24T00:00:00Z,Department Stores,426
