type,id,status,description,amount,account,balance,direction,class,institution,postDate,subClass_title,subClass_code
transaction,75a6b72d-b4c7-46c5-afe6-fea85073c40a,posted,5 STAR SUPERMARKET C     LABRADOR     QL AUS Card xx7379 Value Date: 21/11/2021,-24.14,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-21T00:00:00Z,Supermarket and Grocery Stores,411
transaction,20c1aec7-bf20-46eb-8029-f66b9b75130e,posted,PALACE NORTON STREET LEICHHARDT   AUS AUS Card xx7379 Value Date: 19/11/2021,-77.18,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-21T00:00:00Z,Motion Picture and Video Activities,551
transaction,d116fc23-1428-4f61-80eb-c1dfad40902d,posted,MOUNT MACEDON HOTEL MOUNT MACEDO AUS AUS Card xx7379 Value Date: 20/11/2021,-39.02,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-21T00:00:00Z,"Pubs, Taverns and Bars",452
transaction,ef72dbb2-2b2f-46c0-86b9-b3d6e69a04ee,posted,CAFE ZO ZO NEUTRAL BAY AUS AUS Card xx7379 Value Date: 19/11/2021,-13.35,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-21T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451
transaction,122da858-180d-41e4-870c-d64f6d9e2799,posted,OTR GREENACRS 7211 \HILLCREST         AU AUS Card xx7379 Value Date: 19/11/2021,-51.32,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-21T00:00:00Z,Fuel Retailing,400
transaction,33e19e55-feed-4f41-8145-143fe86f38e1,posted,BP 7761 AUS Card xx7379 Value Date: 20/11/2021,-102.20,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,Fuel Retailing,400
transaction,bea4f44e-da9e-43ca-bc0b-7649814929d1,posted,BAWA COF FEE AND FOOD HAW THORN AUS Card xx7379 Value Date: 18/11/2021,-4.91,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451
transaction,bd4968e0-d31d-491c-b2bb-0c316dd872e6,posted,BP 1303 AUS Card xx7379 Value Date: 18/11/2021,-43.27,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,Fuel Retailing,400
transaction,628807e2-51c4-404e-8a75-63ea9de5dcf3,posted,IMPRESSO CAFE MELBOURNE AUS Card xx7379 Value Date: 20/11/2021,-13.15,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451
transaction,91bf4721-92f9-41fc-a39e-7bc6979e30ba,posted,7-ELEVEN 2269 ROSEVILLE    AUS AUS Card xx7379 Value Date: 18/11/2021,-50.43,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,Supermarket and Grocery Stores,411
transaction,35cc3508-c94b-479b-8f68-db24f1ef2b97,posted,BP 1303 AUS Card xx7379 Value Date: 20/11/2021,-42.70,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-20T00:00:00Z,Fuel Retailing,400
transaction,ac67a442-10b4-456d-9ce3-a52ce8548157,posted,CAFE ZO ZO NEUTRAL BAY AUS AUS Card xx7379 Value Date: 18/11/2021,-12.44,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-19T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451
transaction,a079182d-f284-4eba-82dc-1f32b2b41606,posted,HERMIT P ARK SHOPPING C HER MIT PAR AUS Card xx7379 Value Date: 17/11/2021,-26.02,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-19T00:00:00Z,Department Stores,426
transaction,c0a37300-b3e7-438a-9e55-5900f94554cb,posted,BAWA COF FEE AND FOOD HAW THORN AUS Card xx7379 Value Date: 18/11/2021,-4.89,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-19T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451
transaction,caa0cb8e-be60-4afe-986a-e307a081679a,posted,5 STAR SUPERMARKET C     LABRADOR     QL AUS Card xx7379 Value Date: 19/11/2021,-22.92,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-19T00:00:00Z,Supermarket and Grocery Stores,411
transaction,82cd7f3c-25db-4668-8505-4dc2ea42dcb0,posted,MOUNT MACEDON HOTEL MOUNT MACEDO AUS AUS Card xx7379 Value Date: 17/11/2021,-36.11,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-18T00:00:00Z,"Pubs, Taverns and Bars",452
transaction,a24a7024-822b-4ef7-b21a-384ce1682c31,posted,COLES 4812 AUS Card xx7379 Value Date: 17/11/2021,-85.24,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-18T00:00:00Z,Supermarket and Grocery Stores,411
transaction,3f1b25ed-7109-46b2-abc3-c131269dc0d0,posted,MINTJAY PTY LIMITED SYDNEY       AUS AUS Card xx7379 Value Date: 15/11/2021,-104.06,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-17T00:00:00Z,"Pubs, Taverns and Bars",452
transaction,37f2c9da-a9b4-47b8-861b-562b2c28e9b6,posted,5 STAR SUPERMARKET C     LABRADOR     QL AUS Card xx7379 Value Date: 17/11/2021,-21.66,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-17T00:00:00Z,Supermarket and Grocery Stores,411
transaction,0c3a1eca-e83e-4e85-9640-3dfbc03aae11,posted,BP 1303 AUS Card xx7379 Value Date: 16/11/2021,-38.29,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-17T00:00:00Z,Fuel Retailing,400
transaction,4e1ca78a-e52c-4b63-836c-f1a5d68e51de,posted,5 STAR SUPERMARKET C     LABRADOR     QL AUS Card xx7379 Value Date: 15/11/2021,-21.31,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-17T00:00:00Z,Supermarket and Grocery Stores,411
transaction,bace0c22-5cd9-4bca-a313-165b4f9275d6,posted,5 STAR SUPERMARKET C     LABRADOR     QL AUS Card xx7379 Value Date: 16/11/2021,-21.51,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-17T00:00:00Z,Supermarket and Grocery Stores,411
transaction,835d3e3e-07c4-4251-9532-2446504a9b5c,posted,5 STAR SUPERMARKET C     LABRADOR     QL AUS Card xx7379 Value Date: 15/11/2021,-21.08,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-16T00:00:00Z,Supermarket and Grocery Stores,411
transaction,1040f973-9e05-4791-ab96-e976bbe9a00b,posted,WHOLEFOODS HOUSE PTY ROSEBERY     AUS AUS Card xx7379 Value Date: 15/11/2021,-28.63,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-16T00:00:00Z,Supermarket and Grocery Stores,411
transaction,0d47013c-8fa5-4b45-8bbd-983897a67f83,posted,7-ELEVEN 2269 ROSEVILLE    AUS AUS Card xx7379 Value Date: 14/11/2021,-46.48,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-16T00:00:00Z,Supermarket and Grocery Stores,411
transaction,0d6f48e9-c413-4166-8171-c74986e24cfa,posted,7-ELEVEN 2269 ROSEVILLE    AUS AUS Card xx7379 Value Date: 13/11/2021,-45.00,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-15T00:00:00Z,Supermarket and Grocery Stores,411
transaction,2442f42e-20de-4acb-a3b3-12ed0ef535b2,posted,THE GRUMPY BAKER AUS PTY VAUCLUSE AUS Card xx7379 Value Date: 15/11/2021,-13.18,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-15T00:00:00Z,Bakery Product Manufacturing,117
transaction,c367bab5-b57f-4b39-a67f-24046f2e6fa6,posted,BAWA COF FEE AND FOOD HAW THORN AUS Card xx7379 Value Date: 14/11/2021,-4.34,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-14T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451
transaction,04a9a7ff-e8e5-4f59-8b34-0028a116f3ae,posted,WHOLEFOODS HOUSE PTY ROSEBERY     AUS AUS Card xx7379 Value Date: 12/11/2021,-26.34,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-14T00:00:00Z,Supermarket and Grocery Stores,411
transaction,6941f4ab-a5a1-41c2-974c-e7db20e789fa,posted,THE HOYTS CORPORATIO MELBOURNE    AUS AUS Card xx7379 Value Date: 13/11/2021,-42.18,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-14T00:00:00Z,Motion Picture and Video Activities,551
transaction,f9f7bbc9-f602-4a17-9b83-7b08e6679f9f,posted,WHOLEFOODS HOUSE PTY ROSEBERY     AUS AUS Card xx7379 Value Date: 13/11/2021,-26.57,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-14T00:00:00Z,Supermarket and Grocery Stores,411
transaction,ef16bba1-c8c6-439e-affb-2702f67bd85d,posted,THE GRUMPY BAKER AUS PTY VAUCLUSE AUS Card xx7379 Value Date: 11/11/2021,-12.05,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-13T00:00:00Z,Bakery Product Manufacturing,117
transaction,5fe0c17d-3319-4b1b-ae50-d095b33e7c4f,posted,CHEMIST WAREHOUSE BONDI JUNCTIO NS AUS Card xx7379 Value Date: 11/11/2021,-15.39,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-12T00:00:00Z,Pharmaceutical and Other Store-Based Retailing,427
transaction,c8b7c3a6-ea10-4629-88d8-e3c9f7673208,posted,WHOLEFOODS HOUSE PTY ROSEBERY     AUS AUS Card xx7379 Value Date: 10/11/2021,-25.31,25c4ee52-119b-4a68-ba9a-cb21940b6a1c,0.00,debit,payment,AU00000,2023-11-12T00:00:00Z,Supermarket and Grocery Stores,411
