type,id,status,description,amount,account,balance,direction,class,institution,connection,enrich,transactionDate,postDate,subClass,links.self,links.account,links.institution,links.connection,subClass.title,subClass.code
transaction,2bae8200-88aa-41ab-beca-f4274cef6c53,posted,Transfer Platnm Homeloan 346454,-3905.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,6315.30,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-29T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/2bae8200-88aa-41ab-beca-f4274cef6c53,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,1666b2c5-1595-4588-96cc-220a5d02348b,posted,Wdl ATM CBA ATM  BALGOWLAH A    NSW 210901   AUS,-200.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,10220.30,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-28T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/1666b2c5-1595-4588-96cc-220a5d02348b,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,2ac3301b-b58f-4eb1-85dd-32208977cd0a,posted,Wdl ATM CBA ATM  BALGOWLAH A    NSW 210901   AUS,-100.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,10420.30,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-28T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/2ac3301b-b58f-4eb1-85dd-32208977cd0a,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,068a1d53-d0d6-404a-ba51-2bb764dec743,posted,TFR From Transaction to CC Acc 13,-9353.50,0b107c33-e858-4bbd-abba-f757ae4da1fc,10520.30,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-28T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/068a1d53-d0d6-404a-ba51-2bb764dec743,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,af0dc7d5-8152-49ed-9719-a1c730074e0d,posted,Payroll WFRMS 15439393,17098.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,19873.80,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-28T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/af0dc7d5-8152-49ed-9719-a1c730074e0d,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,865f00a6-839b-4108-9175-6bbc643688b8,posted,Wdl ATM CBA ATM  MANLY A        NSW 219701   AUS,-400.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,2775.80,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-26T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/865f00a6-839b-4108-9175-6bbc643688b8,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,046c9e1f-f23f-4548-9aad-94207c518ad0,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-200.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3175.80,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-25T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/046c9e1f-f23f-4548-9aad-94207c518ad0,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,6f008194-47f8-4b66-bb3f-e9ca11bc0cbd,posted,Non Hooli ATM Withdrawal Fee,-2.50,0b107c33-e858-4bbd-abba-f757ae4da1fc,3375.80,debit,bank-fee,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-25T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/6f008194-47f8-4b66-bb3f-e9ca11bc0cbd,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,8e473fe4-ea73-4f8f-b575-b57cd4721571,posted,Wdl ATM CBA ATM  MANLY B        NSW 219702   AUS,-200.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3378.30,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-18T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/8e473fe4-ea73-4f8f-b575-b57cd4721571,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,aaa311d9-aad0-4d70-9650-c5ad7f58b898,posted,Manly Maths Tutor Wages,201.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3578.30,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-15T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/aaa311d9-aad0-4d70-9650-c5ad7f58b898,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,dab9e69e-cbdb-451f-9137-2a67fde6d8eb,posted,MANLY WEST SCHOOL,-2530.81,0b107c33-e858-4bbd-abba-f757ae4da1fc,3377.30,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-15T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/dab9e69e-cbdb-451f-9137-2a67fde6d8eb,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,School Education,802
transaction,15c16075-5818-4cc7-af1f-b336b27a309f,posted,MANLY WEST SCHOOL,-101.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,5908.11,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-15T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/15c16075-5818-4cc7-af1f-b336b27a309f,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,School Education,802
transaction,d6cac72f-71d4-484f-a25a-47d91d054921,posted,Manly Maths Tutor Wages,201.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,6009.11,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-12-13T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/d6cac72f-71d4-484f-a25a-47d91d054921,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
