type,id,status,description,amount,account,balance,direction,class,institution,connection,enrich,transactionDate,postDate,subClass,links.self,links.account,links.institution,links.connection,subClass.title,subClass.code
transaction,5dc1cce7-a89d-45df-a069-0fb8ef4f9c8b,posted,Transfer Platnm Homeloan 346454,-3927.50,0b107c33-e858-4bbd-abba-f757ae4da1fc,6631.56,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-28T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/5dc1cce7-a89d-45df-a069-0fb8ef4f9c8b,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,a0a4a39f-62e0-4d7d-b0cc-f395601cb247,posted,TFR From Transaction to CC Acc 13,-9331.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,10559.06,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-27T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/a0a4a39f-62e0-4d7d-b0cc-f395601cb247,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,95644266-e12a-4b9d-a40f-d0d0673ddad0,posted,Payroll WFRMS 15439393,15985.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,19890.06,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-27T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/95644266-e12a-4b9d-a40f-d0d0673ddad0,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,6f39334c-988b-4d91-ad20-d7251a6b8ce7,posted,Wdl ATM BOQ BP Connect BalgowlaBalgowlahNS    AU,-900.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3905.06,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-25T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/6f39334c-988b-4d91-ad20-d7251a6b8ce7,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,57ee3775-5aa8-42fc-9264-911a7b53b3d4,posted,Non Hooli ATM Withdrawal Fee,-2.50,0b107c33-e858-4bbd-abba-f757ae4da1fc,4805.06,debit,bank-fee,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-25T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/57ee3775-5aa8-42fc-9264-911a7b53b3d4,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,61ad6f85-9fb5-4efd-b362-75177996d366,posted,MANLY WEST SCHOOL,-31.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,4807.56,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-25T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/61ad6f85-9fb5-4efd-b362-75177996d366,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,School Education,802
transaction,19dfa19d-bd08-4fa3-b30c-81f9fbc7a2f2,posted,Manly Maths Tutor Wages,201.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,4838.56,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-14T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/19dfa19d-bd08-4fa3-b30c-81f9fbc7a2f2,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,f445abef-fe5a-4e74-b9d6-7d7700c61f91,posted,MANLY WEST SCHOOL,-2530.81,0b107c33-e858-4bbd-abba-f757ae4da1fc,4637.56,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-14T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/f445abef-fe5a-4e74-b9d6-7d7700c61f91,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,School Education,802
transaction,736947b0-eec4-4396-8fd9-af6131e803a9,posted,MANLY WEST SCHOOL,-101.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,7168.37,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-14T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/736947b0-eec4-4396-8fd9-af6131e803a9,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,School Education,802
transaction,abb93981-4017-4abb-823b-46f1d7e63ec3,posted,MANLY WEST SCHOOL,-70.69,0b107c33-e858-4bbd-abba-f757ae4da1fc,7269.37,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-12T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/abb93981-4017-4abb-823b-46f1d7e63ec3,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,School Education,802
transaction,40b3f0b5-5643-4753-8e79-700982db9d14,posted,Wdl ATM WES IGA BALGOWLAH HGT  BALGOWL        AU,-500.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,7340.06,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-12T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/40b3f0b5-5643-4753-8e79-700982db9d14,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,63825beb-af72-472e-b046-81737dc1c7a6,posted,Non Hooli ATM Withdrawal Fee,-2.50,0b107c33-e858-4bbd-abba-f757ae4da1fc,7840.06,debit,bank-fee,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-12T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/63825beb-af72-472e-b046-81737dc1c7a6,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,fae280d4-7756-4769-95bf-221473021b2b,posted,Manly Maths Tutor Wages,201.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,7842.56,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-12T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/fae280d4-7756-4769-95bf-221473021b2b,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,acb4fde7-9917-406f-afea-aa6eb5f52e58,posted,TFR Acc14000 TO 12389,-500.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,7641.56,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-09-11T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/acb4fde7-9917-406f-afea-aa6eb5f52e58,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
